Info;Testing script A;;;;;;;;
Duration;1045;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;1;tryFind ;0;;;tryFind ;60086;278634;4,63725327
Duration;1616;insert ;1;;;remove ;19893;262423;13,19172573
Duration;301;tryFind ;1;;;insert ;19953;131314;6,581165739
Duration;261;insert ;2;;;;;;
Duration;2;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;1;tryFind ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;3;insert ;4;;;;;;
Duration;3351;remove ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;14;remove ;2;;;;;;
Duration;6;remove ;1;;;;;;
Duration;5;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;21;insert ;1;;;;;;
Duration;17;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;4;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;5;remove ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;3;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;3;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;3;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;3;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;5;remove ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;5;remove ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;6;remove ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;6;remove ;1;;;;;;
Duration;1;tryFind ;1;;;;;;
Duration;3;remove ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;2;insert ;3;;;;;;
Duration;1;tryFind ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;2;insert ;3;;;;;;
Duration;3;insert ;4;;;;;;
Duration;29;insert ;5;;;;;;
Duration;6;insert ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;3;insert ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;3;insert ;8;;;;;;
Duration;2;tryFind ;8;;;;;;
Duration;2;tryFind ;8;;;;;;
Duration;14;remove ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;7;remove ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;4;insert ;7;;;;;;
Duration;14;remove ;6;;;;;;
Duration;3;insert ;7;;;;;;
Duration;1;tryFind ;7;;;;;;
Duration;4;insert ;8;;;;;;
Duration;2;tryFind ;8;;;;;;
Duration;2;tryFind ;8;;;;;;
Duration;7;remove ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;7;remove ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;1;tryFind ;6;;;;;;
Duration;3;insert ;7;;;;;;
Duration;2;tryFind ;7;;;;;;
Duration;13;remove ;6;;;;;;
Duration;1;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;1;tryFind ;5;;;;;;
