Info;Testing script B;;;;;;;;
Duration;1;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;3;insert ;1;;;tryFind ;20229;81357;4,021800386
Duration;8;remove ;0;;;remove ;39586;488598;12,34269691
Duration;2;insert ;1;;;insert ;39756;235762;5,930224369
Duration;3;tryFind ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;11;remove ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;8;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;8;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;11;remove ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;6;insert ;3;;;;;;
Duration;17;remove ;2;;;;;;
Duration;2;tryFind ;2;;;;;;
Duration;6;insert ;3;;;;;;
Duration;11;insert ;4;;;;;;
Duration;13;remove ;3;;;;;;
Duration;15;remove ;2;;;;;;
Duration;6;insert ;3;;;;;;
Duration;11;remove ;2;;;;;;
Duration;12;remove ;1;;;;;;
Duration;8;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;9;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;7;insert ;2;;;;;;
Duration;11;remove ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;6;insert ;4;;;;;;
Duration;4;tryFind ;4;;;;;;
Duration;11;insert ;5;;;;;;
Duration;15;remove ;4;;;;;;
Duration;8;insert ;5;;;;;;
