Info;Testing script A;;;;;;;;
Duration;2378;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;5791;insert ;1;;;tryFind ;60191;470707;7,820222292
Duration;497;tryFind ;1;;;remove ;19619;1862969;94,95738825
Duration;2516;remove ;0;;;insert ;20172;203122;10,06950228
Duration;1;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;4;insert ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;4;insert ;2;;;;;;
Duration;2;tryFind ;2;;;;;;
Duration;1;tryFind ;2;;;;;;
Duration;2;tryFind ;2;;;;;;
Duration;2;insert ;3;;;;;;
Duration;6;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;4;insert ;4;;;;;;
Duration;8;remove ;3;;;;;;
Duration;4;insert ;4;;;;;;
Duration;7;remove ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;8;remove ;2;;;;;;
Duration;2;insert ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;4;remove ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;4;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;10;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;4;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;4;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;2;tryFind ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;6;remove ;1;;;;;;
Duration;2;tryFind ;1;;;;;;
Duration;4;insert ;2;;;;;;
Duration;2;insert ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;5;insert ;4;;;;;;
Duration;2;tryFind ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;7;remove ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;4;insert ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;705;insert ;5;;;;;;
Duration;4;tryFind ;5;;;;;;
Duration;14;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;22;insert ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;6;tryFind ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;21;tryFind ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;9;remove ;5;;;;;;
Duration;4;tryFind ;5;;;;;;
Duration;2;tryFind ;5;;;;;;
Duration;8;remove ;4;;;;;;
Duration;4;tryFind ;4;;;;;;
Duration;2;tryFind ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;2;tryFind ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;2;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;8;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;5;insert ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;20;tryFind ;7;;;;;;
Duration;5;insert ;8;;;;;;
Duration;10;insert ;9;;;;;;
Duration;8;remove ;8;;;;;;
Duration;10;remove ;7;;;;;;
Duration;4;tryFind ;7;;;;;;
Duration;10;remove ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;6;remove ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
