Info;Testing script B;;;;;;;;
Duration;2;insert ;1;;;;poèet;suma èasov;priemer
Duration;2;insert ;2;;;tryFind ;19876;132603;6,671513383
Duration;5;remove ;1;;;remove ;39718;1661404;41,83000151
Duration;15;insert ;2;;;insert ;39984;339832;8,49919968
Duration;2;tryFind ;2;;;;;;
Duration;2;insert ;3;;;;;;
Duration;5;insert ;4;;;;;;
Duration;7;insert ;5;;;;;;
Duration;3;insert ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;4;insert ;6;;;;;;
Duration;2;tryFind ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;6;insert ;5;;;;;;
Duration;4;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;8;remove ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;3;insert ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;7;insert ;6;;;;;;
Duration;5;insert ;7;;;;;;
Duration;5;insert ;8;;;;;;
Duration;9;remove ;7;;;;;;
Duration;9;remove ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;3;insert ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;8;remove ;3;;;;;;
Duration;4;insert ;4;;;;;;
Duration;6;remove ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;4;insert ;3;;;;;;
Duration;4;insert ;4;;;;;;
Duration;4;insert ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;3;insert ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;7;insert ;7;;;;;;
Duration;5;insert ;8;;;;;;
Duration;9;insert ;9;;;;;;
Duration;5;insert ;10;;;;;;
